Actual_Traffic,Predicted_Traffic,Absolute_Error
1669,1807.3167991749701,138.31679917497013
311,334.92492878925646,23.924928789256455
1374,1333.0279232480036,40.97207675199638
640,738.2354447623445,98.23544476234451
1583,1492.413273980523,90.58672601947706
443,520.4205112036325,77.42051120363249
1603,1728.867809272676,125.86780927267591
1058,1000.3982901169722,57.60170988302775
1466,1307.769316230062,158.23068376993797
1329,1272.628099616552,56.371900383448065
1478,1460.88222458772,17.117775412280025
1060,995.5198132851465,64.48018671485352
129,144.2384312089523,15.238431208952306
1271,1293.990777799569,22.99077779956906
174,92.63340161251085,81.36659838748915
1667,1649.7253638382806,17.2746361617194
69,69.15470432237657,0.15470432237657405
1363,1381.558490275484,18.55849027548402
95,9.477562547454,85.522437452546
1570,1494.3237885644298,75.67621143557017
489,414.72632437481445,74.27367562518555
